from_field,from_event,Section Header,Field Type,to_event,to_field,to_form,TO_FIELD_TYPE,NOTES,custom,custom_1,custom_2
appetite_level,child_health_history,,radio,child_3_arm_4,appetite_level,child_health_history,radio,,,,
primary_caregiver,child_health_history,"<div class=""rich-text-field-label""><p><span style=""color: #34495e;"">Family Environment & Social Interaction</span></p></div>",checkbox,child_3_arm_4,primary_caregiver,child_health_history,checkbox,,,,
friends,child_health_history,,radio,child_3_arm_4,friends,child_health_history,radio,,,,
preferred_space,child_health_history,,radio,child_3_arm_4,preferred_space,child_health_history,radio,,,,
preferred_people,child_health_history,,checkbox,child_3_arm_4,preferred_people,child_health_history,checkbox,,,,
bullying_descrip,child_health_history,,descriptive,child_3_arm_4,bullying_descrip,child_health_history,descriptive,,,,
bully_freq,child_health_history,,radio,child_3_arm_4,bully_freq,child_health_history,radio,,,,
distress_level,child_health_history,,radio,child_3_arm_4,distress_level,child_health_history,radio,,,,
bully_hair,child_health_history,,radio,child_3_arm_4,bully_hair,child_health_history,radio,,,,
centers_num,child_health_history,"<div class=""rich-text-field-label""><p><span style=""color: #34495e;"">Preschool/Daycare Center Information</span></p></div>",radio,child_3_arm_4,centers_num,child_health_history,radio,,,,
enrollment_age,child_health_history,,text,child_3_arm_4,enrollment_age,child_health_history,text,,,,
move_num,child_health_history,,radio,child_3_arm_4,move_num,child_health_history,radio,,,,
asq_10_child,asq_10_month_9_mo_0_d_10_mo_30_d,,radio,child_3_arm_4,asq_9_child,asq_9_month_9_mo_0_d_10_mo_30_d,radio,,,,asq_10_child
asq_9_comm1,asq_10_month_9_mo_0_d_10_mo_30_d,"<div class=""rich-text-field-label""><p><span style=""color: #34495e;"">Communication</span></p></div>",radio,child_3_arm_4,asq_9_comm1,asq_9_month_9_mo_0_d_10_mo_30_d,radio,,,,asq_10_comm1
asq_9_comm2,asq_10_month_9_mo_0_d_10_mo_30_d,,radio,child_3_arm_4,asq_9_comm2,asq_9_month_9_mo_0_d_10_mo_30_d,radio,,,,asq_10_comm2
asq_9_comm3,asq_10_month_9_mo_0_d_10_mo_30_d,,radio,child_3_arm_4,asq_9_comm3,asq_9_month_9_mo_0_d_10_mo_30_d,radio,,,,asq_10_comm3
asq_9_comm4,asq_10_month_9_mo_0_d_10_mo_30_d,,radio,child_3_arm_4,asq_9_comm4,asq_9_month_9_mo_0_d_10_mo_30_d,radio,,,,asq_10_comm4
asq_9_comm5,asq_10_month_9_mo_0_d_10_mo_30_d,,radio,child_3_arm_4,asq_9_comm5,asq_9_month_9_mo_0_d_10_mo_30_d,radio,,,,asq_10_comm5
asq_9_comm6,asq_10_month_9_mo_0_d_10_mo_30_d,,radio,child_3_arm_4,asq_9_comm6,asq_9_month_9_mo_0_d_10_mo_30_d,radio,,,,asq_10_comm6
asq_9_gm_png,asq_10_month_9_mo_0_d_10_mo_30_d,"<div class=""rich-text-field-label""><p><span style=""color: #34495e;"">Gross Motor</span></p></div>",descriptive,child_3_arm_4,asq_9_gm_png,asq_9_month_9_mo_0_d_10_mo_30_d,descriptive,,,,asq_10_gm_png
asq_9_gm1,asq_10_month_9_mo_0_d_10_mo_30_d,,radio,child_3_arm_4,asq_9_gm1,asq_9_month_9_mo_0_d_10_mo_30_d,radio,,,,asq_10_gm1
asq_9_gm2,asq_10_month_9_mo_0_d_10_mo_30_d,,radio,child_3_arm_4,asq_9_gm2,asq_9_month_9_mo_0_d_10_mo_30_d,radio,,,,asq_10_gm2
asq_9_gm3,asq_10_month_9_mo_0_d_10_mo_30_d,,radio,child_3_arm_4,asq_9_gm3,asq_9_month_9_mo_0_d_10_mo_30_d,radio,,,,asq_10_gm3
asq_9_gm4,asq_10_month_9_mo_0_d_10_mo_30_d,,radio,child_3_arm_4,asq_9_gm4,asq_9_month_9_mo_0_d_10_mo_30_d,radio,,,,asq_10_gm4
asq_9_gm5,asq_10_month_9_mo_0_d_10_mo_30_d,,radio,child_3_arm_4,asq_9_gm5,asq_9_month_9_mo_0_d_10_mo_30_d,radio,,,,asq_10_gm5
asq_9_gm6,asq_10_month_9_mo_0_d_10_mo_30_d,,radio,child_3_arm_4,asq_9_gm6,asq_9_month_9_mo_0_d_10_mo_30_d,radio,,,,asq_10_gm6
asq_9_fm_png,asq_10_month_9_mo_0_d_10_mo_30_d,"<div class=""rich-text-field-label""><p><span style=""color: #34495e;"">Fine Motor</span></p></div>",descriptive,child_3_arm_4,asq_9_fm_png,asq_9_month_9_mo_0_d_10_mo_30_d,descriptive,,,,asq_10_fm_png
asq_9_fm1,asq_10_month_9_mo_0_d_10_mo_30_d,,radio,child_3_arm_4,asq_9_fm1,asq_9_month_9_mo_0_d_10_mo_30_d,radio,,,,asq_10_fm1
asq_9_fm2,asq_10_month_9_mo_0_d_10_mo_30_d,,radio,child_3_arm_4,asq_9_fm2,asq_9_month_9_mo_0_d_10_mo_30_d,radio,,,,asq_10_fm2
asq_9_fm3,asq_10_month_9_mo_0_d_10_mo_30_d,,radio,child_3_arm_4,asq_9_fm3,asq_9_month_9_mo_0_d_10_mo_30_d,radio,,,,asq_10_fm3
asq_9_fm4,asq_10_month_9_mo_0_d_10_mo_30_d,,radio,child_3_arm_4,asq_9_fm4,asq_9_month_9_mo_0_d_10_mo_30_d,radio,,,,asq_10_fm4
asq_9_fm5,asq_10_month_9_mo_0_d_10_mo_30_d,,radio,child_3_arm_4,asq_9_fm5,asq_9_month_9_mo_0_d_10_mo_30_d,radio,,,,asq_10_fm5
asq_9_fm6,asq_10_month_9_mo_0_d_10_mo_30_d,,radio,child_3_arm_4,asq_9_fm6,asq_9_month_9_mo_0_d_10_mo_30_d,radio,,,,asq_10_fm6
asq_9_prso_png,asq_10_month_9_mo_0_d_10_mo_30_d,"<div class=""rich-text-field-label""><p><span style=""color: #34495e;"">Problem Solving</span></p></div>",descriptive,child_3_arm_4,asq_9_prso_png,asq_9_month_9_mo_0_d_10_mo_30_d,descriptive,,,,asq_10_prso_png
asq_9_prso1,asq_10_month_9_mo_0_d_10_mo_30_d,,radio,child_3_arm_4,asq_9_prso1,asq_9_month_9_mo_0_d_10_mo_30_d,radio,,,,asq_10_prso1
asq_9_prso2,asq_10_month_9_mo_0_d_10_mo_30_d,,radio,child_3_arm_4,asq_9_prso2,asq_9_month_9_mo_0_d_10_mo_30_d,radio,,,,asq_10_prso2
asq_9_prso3,asq_10_month_9_mo_0_d_10_mo_30_d,,radio,child_3_arm_4,asq_9_prso3,asq_9_month_9_mo_0_d_10_mo_30_d,radio,,,,asq_10_prso3
asq_9_prso4,asq_10_month_9_mo_0_d_10_mo_30_d,,radio,child_3_arm_4,asq_9_prso4,asq_9_month_9_mo_0_d_10_mo_30_d,radio,,,,asq_10_prso4
asq_9_prso5,asq_10_month_9_mo_0_d_10_mo_30_d,,radio,child_3_arm_4,asq_9_prso5,asq_9_month_9_mo_0_d_10_mo_30_d,radio,,,,asq_10_prso5
asq_9_prso6,asq_10_month_9_mo_0_d_10_mo_30_d,,radio,child_3_arm_4,asq_9_prso6,asq_9_month_9_mo_0_d_10_mo_30_d,radio,,,,asq_10_prso6
asq_9_peso_png,asq_10_month_9_mo_0_d_10_mo_30_d,"<div class=""rich-text-field-label""><p><span style=""color: #34495e;"">Personal-Social</span></p></div>",descriptive,child_3_arm_4,asq_9_peso_png,asq_9_month_9_mo_0_d_10_mo_30_d,descriptive,,,,asq_10_peso_png
asq_9_peso1,asq_10_month_9_mo_0_d_10_mo_30_d,,radio,child_3_arm_4,asq_9_peso1,asq_9_month_9_mo_0_d_10_mo_30_d,radio,,,,asq_10_peso1
asq_9_peso2,asq_10_month_9_mo_0_d_10_mo_30_d,,radio,child_3_arm_4,asq_9_peso2,asq_9_month_9_mo_0_d_10_mo_30_d,radio,,,,asq_10_peso2
asq_9_peso3,asq_10_month_9_mo_0_d_10_mo_30_d,,radio,child_3_arm_4,asq_9_peso3,asq_9_month_9_mo_0_d_10_mo_30_d,radio,,,,asq_10_peso3
asq_9_peso4,asq_10_month_9_mo_0_d_10_mo_30_d,,radio,child_3_arm_4,asq_9_peso4,asq_9_month_9_mo_0_d_10_mo_30_d,radio,,,,asq_10_peso4
asq_9_peso5,asq_10_month_9_mo_0_d_10_mo_30_d,,radio,child_3_arm_4,asq_9_peso5,asq_9_month_9_mo_0_d_10_mo_30_d,radio,,,,asq_10_peso5
asq_9_peso6,asq_10_month_9_mo_0_d_10_mo_30_d,,radio,child_3_arm_4,asq_9_peso6,asq_9_month_9_mo_0_d_10_mo_30_d,radio,,,,asq_10_peso6
asq_9_overall_1,asq_10_month_9_mo_0_d_10_mo_30_d,"<div class=""rich-text-field-label""><p><span style=""color: #34495e;"">Overall</span></p></div>",yesno,child_3_arm_4,asq_9_overall_1,asq_9_month_9_mo_0_d_10_mo_30_d,yesno,,,,asq_10_overall_1
asq_9_overall_1_explain,asq_10_month_9_mo_0_d_10_mo_30_d,,notes,child_3_arm_4,asq_9_overall_1_explain,asq_9_month_9_mo_0_d_10_mo_30_d,notes,,,,asq_10_overall_1_explain
asq_9_overall_2,asq_10_month_9_mo_0_d_10_mo_30_d,,yesno,child_3_arm_4,asq_9_overall_2,asq_9_month_9_mo_0_d_10_mo_30_d,yesno,,,,asq_10_overall_2
asq_9_overall_2_explain,asq_10_month_9_mo_0_d_10_mo_30_d,,notes,child_3_arm_4,asq_9_overall_2_explain,asq_9_month_9_mo_0_d_10_mo_30_d,notes,,,,asq_10_overall_2_explain
asq_9_overall_3,asq_10_month_9_mo_0_d_10_mo_30_d,,yesno,child_3_arm_4,asq_9_overall_3,asq_9_month_9_mo_0_d_10_mo_30_d,yesno,,,,asq_10_overall_3
asq_9_overall_3_explain,asq_10_month_9_mo_0_d_10_mo_30_d,,notes,child_3_arm_4,asq_9_overall_3_explain,asq_9_month_9_mo_0_d_10_mo_30_d,notes,,,,asq_10_overall_3_explain
asq_9_overall_4,asq_10_month_9_mo_0_d_10_mo_30_d,,yesno,child_3_arm_4,asq_9_overall_4,asq_9_month_9_mo_0_d_10_mo_30_d,yesno,,,,asq_10_overall_4
asq_9_overall_4_explain,asq_10_month_9_mo_0_d_10_mo_30_d,,notes,child_3_arm_4,asq_9_overall_4_explain,asq_9_month_9_mo_0_d_10_mo_30_d,notes,,,,asq_10_overall_4_explain
asq_9_overall_5,asq_10_month_9_mo_0_d_10_mo_30_d,,yesno,child_3_arm_4,asq_9_overall_5,asq_9_month_9_mo_0_d_10_mo_30_d,yesno,,,,asq_10_overall_5
asq_9_overall_5_explain,asq_10_month_9_mo_0_d_10_mo_30_d,,notes,child_3_arm_4,asq_9_overall_5_explain,asq_9_month_9_mo_0_d_10_mo_30_d,notes,,,,asq_10_overall_5_explain
asq_9_overall_6,asq_10_month_9_mo_0_d_10_mo_30_d,,yesno,child_3_arm_4,asq_9_overall_6,asq_9_month_9_mo_0_d_10_mo_30_d,yesno,,,,asq_10_overall_6
asq_9_overall_6_explain,asq_10_month_9_mo_0_d_10_mo_30_d,,notes,child_3_arm_4,asq_9_overall_6_explain,asq_9_month_9_mo_0_d_10_mo_30_d,notes,,,,asq_10_overall_6_explain
asq_9_overall_7,asq_10_month_9_mo_0_d_10_mo_30_d,,yesno,child_3_arm_4,asq_9_overall_7,asq_9_month_9_mo_0_d_10_mo_30_d,yesno,,,,asq_10_overall_7
asq_9_overall_7_explain,asq_10_month_9_mo_0_d_10_mo_30_d,,notes,child_3_arm_4,asq_9_overall_7_explain,asq_9_month_9_mo_0_d_10_mo_30_d,notes,,,,asq_10_overall_7_explain
asq_9_overall_8,asq_10_month_9_mo_0_d_10_mo_30_d,,yesno,child_3_arm_4,asq_9_overall_8,asq_9_month_9_mo_0_d_10_mo_30_d,yesno,,,,asq_10_overall_8
asq_9_overall_8_explain,asq_10_month_9_mo_0_d_10_mo_30_d,,notes,child_3_arm_4,asq_9_overall_8_explain,asq_9_month_9_mo_0_d_10_mo_30_d,notes,,,,asq_10_overall_8_explain
asq_12_child,asq_12_month_11_mo_0_d_12_mo_30_d,,radio,child_3_arm_4,asq_12_child,asq_12_month_11_mo_0_d_12_mo_30_d,radio,,,,
asq_12_comm1,asq_12_month_11_mo_0_d_12_mo_30_d,"<div class=""rich-text-field-label""><p><span style=""color: #34495e;"">Communication</span></p></div>",radio,child_3_arm_4,asq_12_comm1,asq_12_month_11_mo_0_d_12_mo_30_d,radio,,,,
asq_12_comm2,asq_12_month_11_mo_0_d_12_mo_30_d,,radio,child_3_arm_4,asq_12_comm2,asq_12_month_11_mo_0_d_12_mo_30_d,radio,,,,
asq_12_comm3,asq_12_month_11_mo_0_d_12_mo_30_d,,radio,child_3_arm_4,asq_12_comm3,asq_12_month_11_mo_0_d_12_mo_30_d,radio,,,,
asq_12_comm4,asq_12_month_11_mo_0_d_12_mo_30_d,,radio,child_3_arm_4,asq_12_comm4,asq_12_month_11_mo_0_d_12_mo_30_d,radio,,,,
asq_12_comm5,asq_12_month_11_mo_0_d_12_mo_30_d,,radio,child_3_arm_4,asq_12_comm5,asq_12_month_11_mo_0_d_12_mo_30_d,radio,,,,
asq_12_comm6,asq_12_month_11_mo_0_d_12_mo_30_d,,radio,child_3_arm_4,asq_12_comm6,asq_12_month_11_mo_0_d_12_mo_30_d,radio,,,,
asq_12_gm_png,asq_12_month_11_mo_0_d_12_mo_30_d,"<div class=""rich-text-field-label""><p><span style=""color: #34495e;"">Gross Motor</span></p></div>",descriptive,child_3_arm_4,asq_12_gm_png,asq_12_month_11_mo_0_d_12_mo_30_d,descriptive,,,,
asq_12_gm1,asq_12_month_11_mo_0_d_12_mo_30_d,,radio,child_3_arm_4,asq_12_gm1,asq_12_month_11_mo_0_d_12_mo_30_d,radio,,,,
asq_12_gm2,asq_12_month_11_mo_0_d_12_mo_30_d,,radio,child_3_arm_4,asq_12_gm2,asq_12_month_11_mo_0_d_12_mo_30_d,radio,,,,
asq_12_gm3,asq_12_month_11_mo_0_d_12_mo_30_d,,radio,child_3_arm_4,asq_12_gm3,asq_12_month_11_mo_0_d_12_mo_30_d,radio,,,,
asq_12_gm4,asq_12_month_11_mo_0_d_12_mo_30_d,,radio,child_3_arm_4,asq_12_gm4,asq_12_month_11_mo_0_d_12_mo_30_d,radio,,,,
asq_12_gm5,asq_12_month_11_mo_0_d_12_mo_30_d,,radio,child_3_arm_4,asq_12_gm5,asq_12_month_11_mo_0_d_12_mo_30_d,radio,,,,
asq_12_gm6,asq_12_month_11_mo_0_d_12_mo_30_d,,radio,child_3_arm_4,asq_12_gm6,asq_12_month_11_mo_0_d_12_mo_30_d,radio,,,,
asq_12_fm_png,asq_12_month_11_mo_0_d_12_mo_30_d,"<div class=""rich-text-field-label""><p><span style=""color: #34495e;"">Fine Motor</span></p></div>",descriptive,child_3_arm_4,asq_12_fm_png,asq_12_month_11_mo_0_d_12_mo_30_d,descriptive,,,,
asq_12_fm1,asq_12_month_11_mo_0_d_12_mo_30_d,,radio,child_3_arm_4,asq_12_fm1,asq_12_month_11_mo_0_d_12_mo_30_d,radio,,,,
asq_12_fm2,asq_12_month_11_mo_0_d_12_mo_30_d,,radio,child_3_arm_4,asq_12_fm2,asq_12_month_11_mo_0_d_12_mo_30_d,radio,,,,
asq_12_fm3,asq_12_month_11_mo_0_d_12_mo_30_d,,radio,child_3_arm_4,asq_12_fm3,asq_12_month_11_mo_0_d_12_mo_30_d,radio,,,,
asq_12_fm4,asq_12_month_11_mo_0_d_12_mo_30_d,,radio,child_3_arm_4,asq_12_fm4,asq_12_month_11_mo_0_d_12_mo_30_d,radio,,,,
asq_12_fm5,asq_12_month_11_mo_0_d_12_mo_30_d,,radio,child_3_arm_4,asq_12_fm5,asq_12_month_11_mo_0_d_12_mo_30_d,radio,,,,
asq_12_fm6,asq_12_month_11_mo_0_d_12_mo_30_d,,radio,child_3_arm_4,asq_12_fm6,asq_12_month_11_mo_0_d_12_mo_30_d,radio,,,,
asq_12_prso_png,asq_12_month_11_mo_0_d_12_mo_30_d,"<div class=""rich-text-field-label""><p><span style=""color: #34495e;"">Problem Solving</span></p></div>",descriptive,child_3_arm_4,asq_12_prso_png,asq_12_month_11_mo_0_d_12_mo_30_d,descriptive,,,,
asq_12_prso1,asq_12_month_11_mo_0_d_12_mo_30_d,,radio,child_3_arm_4,asq_12_prso1,asq_12_month_11_mo_0_d_12_mo_30_d,radio,,,,
asq_12_prso2,asq_12_month_11_mo_0_d_12_mo_30_d,,radio,child_3_arm_4,asq_12_prso2,asq_12_month_11_mo_0_d_12_mo_30_d,radio,,,,
asq_12_prso3,asq_12_month_11_mo_0_d_12_mo_30_d,,radio,child_3_arm_4,asq_12_prso3,asq_12_month_11_mo_0_d_12_mo_30_d,radio,,,,
asq_12_prso4,asq_12_month_11_mo_0_d_12_mo_30_d,,radio,child_3_arm_4,asq_12_prso4,asq_12_month_11_mo_0_d_12_mo_30_d,radio,,,,
asq_12_prso5,asq_12_month_11_mo_0_d_12_mo_30_d,,radio,child_3_arm_4,asq_12_prso5,asq_12_month_11_mo_0_d_12_mo_30_d,radio,,,,
asq_12_prso6,asq_12_month_11_mo_0_d_12_mo_30_d,,radio,child_3_arm_4,asq_12_prso6,asq_12_month_11_mo_0_d_12_mo_30_d,radio,,,,
asq_12_peso1,asq_12_month_11_mo_0_d_12_mo_30_d,"<div class=""rich-text-field-label""><p><span style=""color: #34495e;"">Personal-Social</span></p></div>",radio,child_3_arm_4,asq_12_peso1,asq_12_month_11_mo_0_d_12_mo_30_d,radio,,,,
asq_12_peso2,asq_12_month_11_mo_0_d_12_mo_30_d,,radio,child_3_arm_4,asq_12_peso2,asq_12_month_11_mo_0_d_12_mo_30_d,radio,,,,
asq_12_peso3,asq_12_month_11_mo_0_d_12_mo_30_d,,radio,child_3_arm_4,asq_12_peso3,asq_12_month_11_mo_0_d_12_mo_30_d,radio,,,,
asq_12_peso4,asq_12_month_11_mo_0_d_12_mo_30_d,,radio,child_3_arm_4,asq_12_peso4,asq_12_month_11_mo_0_d_12_mo_30_d,radio,,,,
asq_12_peso5,asq_12_month_11_mo_0_d_12_mo_30_d,,radio,child_3_arm_4,asq_12_peso5,asq_12_month_11_mo_0_d_12_mo_30_d,radio,,,,
